title	question	answer	annotated
Canon EF 50mm f/1.4 USM Standard & Medium Telephoto Lens for Canon SLR Cameras - Fixed	Whats the difference, except price, in this lens vs.  Canon EF 50mm f/1.2 L USM Lens for Canon Digital SLR Cameras by Canon  $1,619.00	the usm is a big difference.	1.5
EastVita HDMI Splitter (1 to 2) Premium Splitter Cable	"So I'm reading both particularly negative and very few positives about this HDMI splitter. The application I want to use it for is fairly simple: My TV has two HDMI ""plugs,"" one of which does not work. In order to watch satellite TV, which uses the one working HDMI plug,"	it seems to me that if I use both at the same time, on a single	1.0
Canon EF 50mm f/1.4 USM Standard & Medium Telephoto Lens for Canon SLR Cameras - Fixed	"Just as a refresher...what does the 1.4 in the lens description refer to...and do I understand that the lower the number, the more ""range"" the lens?"	the wider the lens opening, the better.	2.0
Magellan Maestro 4250 4.3-Inch Bluetooth Portable GPS Navigator	I want to purchase the Magellan GPS. However I wanted to ask what accessories does it come with?	it comes with all accessories.	1.6666666666666667
PBL BACKDROP BACKGROUND SUPPORT STAND SYSTEM PHOTOGRAPHY STUDIO VIDEO 10'X12' HEAVY DUTY BACKGROUND STANDS , SPRING LOADED NEWLY PATENTED 12' CROSS BAR by PBL	Bought/Love it! But, the clamps I got too small to fit vertical pole and attach to the backdrop. (Pole is too wide.) What do you recommend?	a set of clamps	1.0
Toshiba 19V 3.95A 75W PA5179U-1ACA Laptop AC Adapter Charger Power Cord Compatible with PA-1750-09 PA-1750-04 PA3468E-1AC3 PA3432U-1ACA PA5034E-1AC3	"On the description it stated ""by Toshiba"",but many reviews said it just generic. It's made by Toshiba or generic?"	it's made by delta	2.0
Maxell Safe and Effective Feature CD Player and Game Station Compact Disc Cleaner CD-340 190048 CD/CD-ROM Laser Lens Cleaner	"I went to Track 3 as instructed. Then said to press ""Play"". I don't have a ""play"" button on my CD. Nothing moved. How do I get the disc to clean?"	it says to advance to track 3 and press play.	1.6666666666666667
Seco-Larm E-931-S35RRQ Enforcer Indoor/Outdoor Wall Mounted Photoelectric Beam Sensor with 35 Foot Range	Does it come with a remote mounting speaker or is the speaker internal to the unit.	No speaker you have to buy it  separately	2.6666666666666665
Kensington Orbit Trackball Mouse (K64327F)	how big is the ball?	way too big for my little hands	2.333333333333333
Bellagio-Italia CD/DVD Storage Binder (Black)	how many will this hold	only hold the number of sleeves	1.5
Barbie Girls MP3 Player - Pink	Mac compatible?? Does anyone out there have this barbie mp3 player and use it on a Mac??? I find it hard to believe its not Mac compatible since iPods 'revolutionized' the mp3 player.	it is not compatible with itunes.	2.5
AXESS TA2513-10WT 10-Inch Dual Core Android Tablet in White Color - RockChip 3066 1.6 GHz ~ 8GB Storage ~ 1GB RAM ~ 1024 x 600 resolution ~ Android 4.2.2 Jelly Bean w/ Google Play ~ Dual Camera ~ 5000 mAh Battery!	Does this table get Netflix	It can after downloading the Netflix Android application and connection to Wi-Fi.	2.5
Creative Sound Blaster Audigy SE Sound Card SB0570L4	I am looking for recommendations for upgrading my soundcard, for Computer/Recording studio+ Use. Win XP.	if you are using windows 7 you will need to use the included CD.	2.5
Channel Master CM-7777 Titan 2 Antenna High Gain Preamplifier	is connected to the antenna or to the tv?	the antenna and the tv	3.0
